Target,replicate,dilution,Cq,quantity,log_quantity
pmmov,A,1,6.763371318,1.52E+09,9.181843588
pmmov,A,1,4.576917346,1.52E+09,9.181843588
pmmov,A,1,NaN,1.52E+09,9.181843588
pmmov,B,1,1.59531874,1.52E+09,9.181843588
pmmov,B,1,1.721850534,1.52E+09,9.181843588
pmmov,B,1,1.44364528,1.52E+09,9.181843588
pmmov,C,1,2.163562014,1.52E+09,9.181843588
pmmov,C,1,1.558389886,1.52E+09,9.181843588
pmmov,C,1,1.684007228,1.52E+09,9.181843588
crassphage,A,1,4.346250781,1.52E+09,9.181843588
crassphage,A,1,4.172108219,1.52E+09,9.181843588
crassphage,A,1,4.288583368,1.52E+09,9.181843588
crassphage,B,1,2.955215233,1.52E+09,9.181843588
crassphage,B,1,3.260735666,1.52E+09,9.181843588
crassphage,B,1,3.554927086,1.52E+09,9.181843588
crassphage,C,1,3.557851889,1.52E+09,9.181843588
crassphage,C,1,3.805732552,1.52E+09,9.181843588
crassphage,C,1,3.992715232,1.52E+09,9.181843588
pmmov,A,2,10.57680682,1.52E+08,8.181843588
pmmov,A,2,11.08564997,1.52E+08,8.181843588
pmmov,A,2,11.24228774,1.52E+08,8.181843588
pmmov,B,2,4.02604685,1.52E+08,8.181843588
pmmov,B,2,3.63763829,1.52E+08,8.181843588
pmmov,B,2,4.077501722,1.52E+08,8.181843588
pmmov,C,2,11.31382553,1.52E+08,8.181843588
pmmov,C,2,5.874143609,1.52E+08,8.181843588
pmmov,C,2,11.13716642,1.52E+08,8.181843588
crassphage,A,2,6.253638418,1.52E+08,8.181843588
crassphage,A,2,6.14266595,1.52E+08,8.181843588
crassphage,A,2,5.840501863,1.52E+08,8.181843588
crassphage,B,2,7.460694757,1.52E+08,8.181843588
crassphage,B,2,7.721815987,1.52E+08,8.181843588
crassphage,B,2,7.423085861,1.52E+08,8.181843588
crassphage,C,2,7.768947494,1.52E+08,8.181843588
crassphage,C,2,7.813685873,1.52E+08,8.181843588
crassphage,C,2,7.992402859,1.52E+08,8.181843588
pmmov,A,3,15.19518799,1.52E+07,7.181843588
pmmov,A,3,14.03313726,1.52E+07,7.181843588
pmmov,A,3,15.91737405,1.52E+07,7.181843588
pmmov,B,3,13.47421448,1.52E+07,7.181843588
pmmov,B,3,14.23619324,1.52E+07,7.181843588
pmmov,B,3,15.10155678,1.52E+07,7.181843588
pmmov,C,3,24.53360843,1.52E+07,7.181843588
pmmov,C,3,14.33523703,1.52E+07,7.181843588
pmmov,C,3,14.56686757,1.52E+07,7.181843588
crassphage,A,3,9.942120294,1.52E+07,7.181843588
crassphage,A,3,9.528061737,1.52E+07,7.181843588
crassphage,A,3,9.326046649,1.52E+07,7.181843588
crassphage,B,3,11.00970917,1.52E+07,7.181843588
crassphage,B,3,10.74420869,1.52E+07,7.181843588
crassphage,B,3,10.84638516,1.52E+07,7.181843588
crassphage,C,3,11.1781692,1.52E+07,7.181843588
crassphage,C,3,10.9410698,1.52E+07,7.181843588
crassphage,C,3,11.1013144,1.52E+07,7.181843588
pmmov,A,4,17.65395772,1.52E+06,6.181843588
pmmov,A,4,18.01619204,1.52E+06,6.181843588
pmmov,A,4,17.90861204,1.52E+06,6.181843588
pmmov,B,4,17.20579851,1.52E+06,6.181843588
pmmov,B,4,17.69910869,1.52E+06,6.181843588
pmmov,B,4,17.45295878,1.52E+06,6.181843588
pmmov,C,4,17.94341729,1.52E+06,6.181843588
pmmov,C,4,19.50327396,1.52E+06,6.181843588
pmmov,C,4,17.59659008,1.52E+06,6.181843588
crassphage,A,4,13.23048367,1.52E+06,6.181843588
crassphage,A,4,13.16836895,1.52E+06,6.181843588
crassphage,A,4,12.65234632,1.52E+06,6.181843588
crassphage,B,4,14.28165337,1.52E+06,6.181843588
crassphage,B,4,14.0160922,1.52E+06,6.181843588
crassphage,B,4,14.42526558,1.52E+06,6.181843588
crassphage,C,4,14.54716556,1.52E+06,6.181843588
crassphage,C,4,14.5530253,1.52E+06,6.181843588
crassphage,C,4,14.58877105,1.52E+06,6.181843588
pmmov,A,5,20.04601654,1.52E+05,5.181843588
pmmov,A,5,18.70363195,1.52E+05,5.181843588
pmmov,A,5,20.69795333,1.52E+05,5.181843588
pmmov,B,5,19.71853293,1.52E+05,5.181843588
pmmov,B,5,21.18455098,1.52E+05,5.181843588
pmmov,B,5,21.17574676,1.52E+05,5.181843588
pmmov,C,5,16.46285023,1.52E+05,5.181843588
pmmov,C,5,19.87272814,1.52E+05,5.181843588
pmmov,C,5,28.94053601,1.52E+05,5.181843588
crassphage,A,5,16.53088533,1.52E+05,5.181843588
crassphage,A,5,16.51343413,1.52E+05,5.181843588
crassphage,A,5,16.27478804,1.52E+05,5.181843588
crassphage,B,5,17.48726599,1.52E+05,5.181843588
crassphage,B,5,17.56142788,1.52E+05,5.181843588
crassphage,B,5,17.59604178,1.52E+05,5.181843588
crassphage,C,5,17.41986844,1.52E+05,5.181843588
crassphage,C,5,17.53282623,1.52E+05,5.181843588
crassphage,C,5,17.53043883,1.52E+05,5.181843588
pmmov,A,6,26.45882952,1.52E+04,4.181843588
pmmov,A,6,24.35102325,1.52E+04,4.181843588
pmmov,A,6,25.18111718,1.52E+04,4.181843588
pmmov,B,6,24.85392067,1.52E+04,4.181843588
pmmov,B,6,24.16445913,1.52E+04,4.181843588
pmmov,B,6,24.50391089,1.52E+04,4.181843588
pmmov,C,6,22.49205409,1.52E+04,4.181843588
pmmov,C,6,25.9212367,1.52E+04,4.181843588
pmmov,C,6,32.08409467,1.52E+04,4.181843588
crassphage,A,6,19.60552813,1.52E+04,4.181843588
crassphage,A,6,19.4645477,1.52E+04,4.181843588
crassphage,A,6,19.54451882,1.52E+04,4.181843588
crassphage,B,6,20.8184461,1.52E+04,4.181843588
crassphage,B,6,20.90054636,1.52E+04,4.181843588
crassphage,B,6,20.78144563,1.52E+04,4.181843588
crassphage,C,6,21.06605855,1.52E+04,4.181843588
crassphage,C,6,21.01896603,1.52E+04,4.181843588
crassphage,C,6,21.03462236,1.52E+04,4.181843588
pmmov,A,7,29.72122724,1.52E+03,3.181843588
pmmov,A,7,33.40745984,1.52E+03,3.181843588
pmmov,B,7,27.17156985,1.52E+03,3.181843588
pmmov,B,7,26.95494039,1.52E+03,3.181843588
pmmov,B,7,26.74066846,1.52E+03,3.181843588
pmmov,C,7,33.21228604,1.52E+03,3.181843588
pmmov,C,7,27.30365836,1.52E+03,3.181843588
crassphage,A,7,24.05395894,1.52E+03,3.181843588
crassphage,A,7,24.04746656,1.52E+03,3.181843588
crassphage,A,7,24.32968322,1.52E+03,3.181843588
crassphage,B,7,24.02151955,1.52E+03,3.181843588
crassphage,B,7,24.12092846,1.52E+03,3.181843588
crassphage,B,7,24.0490515,1.52E+03,3.181843588
crassphage,C,7,23.69493444,1.52E+03,3.181843588
crassphage,C,7,23.56166372,1.52E+03,3.181843588
crassphage,C,7,23.49248921,1.52E+03,3.181843588
pmmov,A,8,33.13955036,1.52E+02,2.181843588
pmmov,A,8,31.17306975,1.52E+02,2.181843588
pmmov,A,8,31.6021185,1.52E+02,2.181843588
pmmov,B,8,30.55575223,1.52E+02,2.181843588
pmmov,B,8,30.35379042,1.52E+02,2.181843588
pmmov,B,8,30.35545076,1.52E+02,2.181843588
pmmov,C,8,28.22754771,1.52E+02,2.181843588
pmmov,C,8,30.48165786,1.52E+02,2.181843588
pmmov,C,8,30.46500243,1.52E+02,2.181843588
crassphage,A,8,27.31143815,1.52E+02,2.181843588
crassphage,A,8,27.18266793,1.52E+02,2.181843588
crassphage,A,8,27.28920166,1.52E+02,2.181843588
crassphage,B,8,27.61792851,1.52E+02,2.181843588
crassphage,B,8,27.46406314,1.52E+02,2.181843588
crassphage,B,8,27.53696519,1.52E+02,2.181843588
crassphage,C,8,26.27804627,1.52E+02,2.181843588
crassphage,C,8,26.24552257,1.52E+02,2.181843588
crassphage,C,8,26.15853936,1.52E+02,2.181843588
pmmov,A,9,34.14404209,1.52E+01,1.181843588
pmmov,A,9,36.18906431,1.52E+01,1.181843588
